order_id,customer_id,order_date,total_amount,status
0,54138,2024-10-09,813.1420169946641,Delivered
1,45056,2024-01-14,948.2041026445735,Shipped
2,3758,2024-12-25,859.3306972195478,Pending
3,57481,2024-02-25,48.74859397050256,Cancelled
4,2823,2024-12-23,266.6808800664503,Shipped
5,157365,2024-04-11,13.09472150637527,Delivered
6,134728,2024-10-29,294.19966375717075,Shipped
7,9200,2024-03-10,439.57577762903367,Pending
8,162341,2024-01-20,26.089327042768044,Cancelled
9,99961,2024-02-18,269.32638753553067,Cancelled
10,58718,2024-05-22,464.35509576347175,Shipped
11,72874,2024-11-30,807.0422849415293,Pending
12,85880,2024-03-28,277.3695127706243,Shipped
13,140781,2024-08-14,219.49513984244626,Shipped
14,57316,2024-01-25,841.8764115939556,Cancelled
15,88819,2024-07-11,246.5978383110288,Shipped
16,16140,2024-09-03,190.37462987109606,Cancelled
17,41439,2024-11-04,122.76556273069458,Delivered
18,25615,2024-02-25,104.57003404266612,Shipped
19,84263,2024-03-06,612.7686873350206,Cancelled
20,17942,2024-12-23,493.1501667121228,Pending
21,2768,2024-08-14,144.95258795300526,Cancelled
22,155902,2024-04-08,857.6500623986229,Pending
23,164451,2024-11-26,290.51940669625907,Shipped
24,1978,2024-08-10,315.3522299964898,Cancelled
25,88208,2024-07-12,63.01977356362212,Cancelled
26,129875,2024-10-04,381.4164014217543,Delivered
27,55823,2024-12-12,654.5556000123025,Shipped
28,138161,2024-01-10,468.0213044412144,Delivered
29,92320,2024-02-17,587.5500033129596,Shipped
30,92724,2024-03-23,625.2501252269112,Pending
31,125654,2024-12-19,660.0773286318424,Cancelled
32,78734,2024-07-03,410.4472677409761,Delivered
33,55449,2024-11-08,319.6662711091713,Delivered
34,107889,2024-05-30,441.4750460367196,Pending
35,106660,2024-11-19,625.979402657977,Shipped
36,98234,2024-04-01,661.9659767317522,Shipped
37,83969,2024-09-12,760.4905883665328,Delivered
38,18692,2024-02-24,112.2569940699577,Pending
39,130871,2024-05-21,41.01781575929483,Pending
40,88867,2024-11-06,668.1016736901327,Delivered
41,97266,2024-09-28,822.3417261027373,Delivered
42,91242,2024-08-19,942.9405340267168,Cancelled
43,3696,2024-03-21,415.84855263442665,Delivered
44,109737,2024-08-03,444.12154973979716,Delivered
45,168465,2024-03-05,449.82121062621286,Shipped
46,78870,2024-09-29,926.5454820917766,Pending
47,79677,2024-09-16,997.1799555575343,Cancelled
48,123333,2024-07-31,969.44353927981,Pending
49,58311,2024-10-07,957.8707404117864,Shipped
50,16957,2024-08-18,198.77647548220818,Shipped
51,31054,2024-01-26,558.2646243729814,Cancelled
52,82439,2024-10-20,547.1336257640637,Pending
53,30789,2024-12-06,29.79986542954399,Pending
54,150722,2024-01-08,472.907327362281,Pending
55,74347,2024-09-10,381.8017164663299,Delivered
56,78465,2024-12-01,762.5436587884589,Cancelled
57,23374,2024-05-16,412.18266286058775,Shipped
58,140145,2024-05-05,613.3902185922407,Delivered
59,100468,2024-04-30,588.4997715658105,Shipped
60,118785,2024-07-22,770.6406362467106,Shipped
61,127166,2024-06-10,865.782922491874,Cancelled
62,79820,2024-05-11,264.6722604990672,Shipped
63,15444,2024-11-30,969.6815750050808,Pending
64,136411,2024-03-23,122.8306014278382,Shipped
65,136661,2024-11-13,414.2252297082067,Shipped
66,57327,2024-04-08,792.399787741841,Pending
67,65457,2024-02-13,281.83271369209336,Cancelled
68,91019,2024-11-28,378.3255037904101,Cancelled
69,124999,2024-06-01,795.8637040705237,Shipped
70,124700,2024-07-15,205.74430458798662,Delivered
71,153660,2024-10-05,413.96293807592565,Delivered
72,58420,2024-09-30,773.1230529791915,Delivered
73,43657,2024-05-17,542.481151952855,Shipped
74,52345,2024-11-30,120.6508792722794,Pending
75,68437,2024-08-09,511.00493044655343,Pending
76,20316,2024-08-20,206.01748079602564,Shipped
77,117180,2024-04-24,939.4475911945618,Cancelled
78,12465,2024-05-29,593.2151302547364,Cancelled
79,105237,2024-04-19,644.9291669518719,Shipped
80,143954,2024-12-24,364.62460784890027,Pending
81,57395,2024-07-29,394.4307277351296,Shipped
82,151111,2024-02-17,912.66006062585,Delivered
83,49385,2024-11-11,154.57185476874895,Delivered
84,121338,2024-07-28,654.982293042195,Pending
85,33149,2024-01-27,77.15886510555252,Pending
86,119317,2024-11-24,637.972663295718,Shipped
87,128485,2024-11-23,989.7729616837531,Cancelled
88,13947,2024-01-25,358.6548141320901,Shipped
89,90804,2024-12-25,144.5262515332516,Shipped
90,58276,2024-07-26,321.62378407266857,Delivered
91,33458,2024-03-21,911.697946684574,Pending
92,123422,2024-05-20,501.4524089224252,Pending
93,94113,2024-07-07,807.1957616238608,Pending
94,129398,2024-08-05,937.5217705611718,Pending
95,49763,2024-07-06,606.1560614971467,Cancelled
96,130816,2024-11-10,353.64879429165865,Pending
97,34762,2024-04-08,84.23860971535886,Pending
98,160963,2024-02-15,762.3832179303124,Delivered
99,147289,2024-08-20,300.48004952600405,Shipped
100,167997,2024-05-04,500.30129836001595,Delivered
101,4517,2024-09-23,378.7397580220201,Pending
102,103630,2024-10-09,31.007927272188894,Delivered
103,131483,2024-05-10,257.5180807395177,Shipped
104,7602,2024-05-22,984.2866429143895,Delivered
105,48438,2024-02-19,259.1273859402495,Pending
106,24844,2024-04-03,89.40486173808706,Shipped
107,37564,2024-02-24,181.32352989532555,Pending
108,4947,2024-08-24,602.4949024484987,Pending
109,33689,2024-01-06,881.1995488511214,Shipped
110,41679,2024-12-17,267.87924489136475,Cancelled
111,5235,2024-08-21,164.57757452329818,Pending
112,1607,2024-08-28,554.0965872731164,Cancelled
113,143307,2024-12-05,132.30845386233852,Cancelled
114,53579,2024-12-28,995.2071303672955,Shipped
115,2007,2024-04-05,235.23333373605442,Shipped
116,32983,2024-01-08,537.4858885581702,Pending
117,123088,2024-11-24,245.496694745404,Cancelled
118,135737,2024-12-25,412.0795179532072,Delivered
119,36566,2024-11-25,125.72558139829746,Pending
120,43520,2024-04-30,239.66741122373057,Shipped
121,79223,2024-09-20,349.14669889771193,Cancelled
122,108562,2024-07-24,784.2363697812367,Pending
123,15062,2024-08-06,906.695983548043,Delivered
124,47870,2024-09-05,352.41388092641006,Shipped
125,121574,2024-01-19,650.4611173766035,Cancelled
126,33441,2024-05-05,172.97960202814238,Delivered
127,82772,2024-11-09,752.6405745380292,Shipped
128,98284,2024-11-21,310.1722037658086,Delivered
129,29470,2024-07-09,228.02587175799337,Delivered
130,161138,2024-06-16,23.04943222882894,Delivered
131,11853,2024-03-09,917.40372832784,Pending
132,114757,2024-03-30,681.1862438110066,Shipped
133,3045,2024-01-21,347.9092697819828,Pending
134,54938,2024-11-12,562.5084604045735,Delivered
135,44096,2024-01-03,853.1645111700125,Cancelled
136,167978,2024-12-16,844.3461919442512,Delivered
137,94113,2024-01-05,860.1934648663326,Delivered
138,125047,2024-06-09,511.00023309098776,Delivered
139,24926,2024-01-07,726.9625662177502,Shipped
140,93967,2024-01-28,840.2954479933982,Delivered
141,154979,2024-10-29,561.7930967534268,Delivered
142,76939,2024-06-18,554.6081028189833,Pending
143,123880,2024-12-25,797.3659740569416,Shipped
144,60029,2024-05-16,544.7336672364534,Delivered
145,139792,2024-08-01,523.8712077588234,Cancelled
146,82048,2024-04-27,662.0411956376404,Delivered
147,69238,2024-12-24,809.5069154314658,Cancelled
148,130804,2024-05-14,811.9959714706173,Cancelled
149,40494,2024-08-06,808.6778725572816,Shipped
150,153585,2024-12-05,888.5161241080539,Pending
151,93401,2024-08-14,298.77468419397354,Delivered
152,21407,2024-07-28,344.98612220463104,Shipped
153,158114,2024-06-16,282.36413112083807,Delivered
154,130038,2024-10-08,165.77088172844532,Cancelled
155,124567,2024-07-03,670.356107077052,Pending
156,21432,2024-12-05,623.8159058413557,Pending
157,133392,2024-04-10,233.09725517976705,Cancelled
158,64570,2024-07-06,595.8023359624642,Shipped
159,77677,2024-07-30,655.4213852132071,Cancelled
160,12931,2024-09-29,877.7339682160743,Pending
161,37902,2024-02-07,758.4991088863109,Shipped
162,100687,2024-01-04,266.4786606091775,Pending
163,54235,2024-10-09,514.2981405189664,Pending
164,105349,2024-08-04,370.23172239804757,Shipped
165,51298,2024-01-08,755.535779133062,Delivered
166,94558,2024-07-27,964.0994984655765,Delivered
167,167371,2024-07-09,852.4091788618214,Shipped
168,74188,2024-08-02,446.1109805867809,Delivered
169,83803,2024-05-31,133.40811794073971,Delivered
170,111665,2024-11-15,739.6110574677112,Cancelled
171,115114,2024-05-16,744.7654793258699,Pending
172,130769,2024-03-16,630.8963866146236,Delivered
173,129563,2024-03-31,622.7809688262687,Pending
174,136301,2024-03-07,403.0486400462396,Pending
175,14354,2024-06-25,968.5166555448418,Cancelled
