payment_id,order_id,payment_date,amount,payment_method
0,142247,2024-04-25,794.2531713933769,PayPal
1,164342,2024-01-10,580.7899792649602,Credit Card
2,86539,2024-07-02,145.4324978068494,PayPal
3,132865,2024-04-16,869.642165301907,Debit Card
4,77906,2024-07-09,283.78383211578057,PayPal
5,107143,2024-03-23,650.2166042047029,Credit Card
6,96626,2024-07-12,531.9421290616646,Debit Card
7,80483,2024-02-09,410.61548066869886,UPI
8,85602,2024-08-25,972.6145275978862,UPI
9,139482,2024-01-29,742.8931925264895,Credit Card
10,62931,2024-10-15,487.62078950528513,Debit Card
11,139713,2024-01-14,376.7303938447291,PayPal
12,140697,2024-02-24,639.5491046242556,PayPal
13,39065,2024-11-25,429.4675109488716,UPI
14,96441,2024-05-07,103.58570562545219,UPI
15,109430,2024-08-03,364.3773795339949,Credit Card
16,118236,2024-07-16,961.2148318349483,Debit Card
17,138515,2024-10-26,668.3273517123904,Debit Card
18,71033,2024-02-14,25.173444428221476,Credit Card
19,26169,2024-10-24,207.95129198482982,Credit Card
20,5310,2024-07-14,167.9298027786675,UPI
21,73467,2024-06-10,869.5076524982765,PayPal
22,136964,2024-08-16,822.8846947272514,UPI
23,126367,2024-05-24,446.42360649112607,Debit Card
24,74057,2024-12-18,564.0856792637378,Credit Card
25,156621,2024-02-05,227.24374735160444,PayPal
26,137876,2024-02-20,713.4197880187853,Credit Card
27,69598,2024-06-18,338.0635718598213,Credit Card
28,163144,2024-08-16,111.17020295991094,UPI
29,149373,2024-07-26,64.56763576795039,PayPal
30,81505,2024-12-02,454.7833728582796,UPI
31,153472,2024-06-06,691.5673804527327,Debit Card
32,155261,2024-11-17,123.28083566656933,Credit Card
33,468,2024-08-12,392.4117993178932,Credit Card
34,163457,2024-03-13,175.65446748246939,Credit Card
35,147891,2024-08-13,337.98006392196066,UPI
36,165702,2024-06-10,450.1788944984213,UPI
37,4493,2024-02-15,179.84637556580137,Debit Card
38,57201,2024-06-24,579.6457488722673,Debit Card
39,98214,2024-08-07,377.4874801659119,PayPal
40,116875,2024-08-02,140.05010627131588,Credit Card
41,74865,2024-09-09,323.3648696420331,UPI
42,26981,2024-06-17,286.3049841421253,Credit Card
43,141531,2024-11-27,482.0397414211104,PayPal
44,141818,2024-08-24,398.72686567719506,PayPal
45,121892,2024-01-22,883.6116113781924,UPI
46,17386,2024-10-08,602.0593898346696,Credit Card
47,41763,2024-05-09,765.8053377243563,Credit Card
48,57604,2024-05-02,378.7301670046846,Debit Card
49,1150,2024-05-17,320.30621845096584,UPI
50,36990,2024-01-27,405.4811659117703,UPI
51,163132,2024-04-01,570.9176110241492,Credit Card
52,168447,2024-02-16,599.3696485544245,PayPal
53,122213,2024-11-02,348.6539031714679,Credit Card
54,122874,2024-10-09,248.03278048064655,Credit Card
55,84343,2024-05-01,871.676125649589,Credit Card
56,42273,2024-12-04,200.56526514867946,Credit Card
57,143432,2024-08-28,411.9632245678631,UPI
58,142839,2024-04-13,567.2140711528483,Debit Card
59,30573,2024-02-06,507.0755393938529,UPI
60,103922,2024-06-22,790.3580838587619,Credit Card
61,20965,2024-02-19,236.14800937029844,UPI
62,166032,2024-11-08,90.1698462235276,Debit Card
63,5640,2024-03-24,656.2992403043528,Debit Card
64,105393,2024-12-26,351.74810022125524,Credit Card
65,102331,2024-10-06,800.7364085149147,UPI
66,165690,2024-02-05,81.34656841916009,Debit Card
67,108541,2024-06-01,439.0915866617013,PayPal
68,27556,2024-03-31,306.71855252419147,Credit Card
69,122289,2024-12-10,149.0922680282427,PayPal
70,167484,2024-03-29,417.82167916852677,UPI
71,84545,2024-12-08,345.01936034156154,PayPal
72,26029,2024-03-22,325.1980823458264,PayPal
73,58075,2024-12-22,562.4831186610052,PayPal
74,102051,2024-02-25,223.4057172945574,UPI
75,9141,2024-12-04,957.7948023482351,Debit Card
76,49290,2024-10-12,532.9040314381623,Credit Card
77,9884,2024-06-27,388.8378192474878,UPI
78,131685,2024-06-06,766.4355306212412,PayPal
79,54092,2024-03-20,509.1711101802885,PayPal
80,99771,2024-08-27,771.7019755581676,PayPal
81,13867,2024-01-29,367.0524922505676,Credit Card
82,151705,2024-05-24,982.904160122515,Debit Card
83,20130,2024-05-15,12.213585683149379,Credit Card
84,17844,2024-03-15,266.30761196232254,Credit Card
85,81620,2024-01-08,90.42068466269708,Debit Card
86,35685,2024-12-22,886.8505949979011,PayPal
87,163631,2024-10-01,585.5975669656096,Credit Card
88,48246,2024-09-27,401.71498400946535,UPI
89,80588,2024-03-08,437.6794020735129,Debit Card
90,163653,2024-04-28,644.4007819210716,PayPal
91,100859,2024-11-17,564.6730767328498,Credit Card
92,116547,2024-01-06,641.4186064368771,Debit Card
93,69499,2024-11-01,765.117646288059,UPI
94,146674,2024-06-28,470.09249171493286,UPI
95,65844,2024-04-09,294.9442322699836,Debit Card
96,117657,2024-09-12,649.7510196924145,UPI
97,154121,2024-11-11,38.41109657349585,PayPal
98,33122,2024-12-12,25.34429930719343,UPI
99,3614,2024-05-31,85.45800058594234,Debit Card
100,78371,2024-07-23,710.9036511429645,PayPal
101,145521,2024-08-19,478.51094707322784,UPI
102,107457,2024-03-20,336.27522373285075,Credit Card
103,88168,2024-10-20,695.359800622172,Debit Card
104,141637,2024-11-01,23.260297866065933,Debit Card
105,125317,2024-04-16,675.6532671541902,Credit Card
106,68605,2024-02-18,282.10078763681145,Credit Card
107,111675,2024-03-11,644.1455439561444,Debit Card
108,106552,2024-11-25,385.8469562012753,Debit Card
109,55830,2024-01-15,809.0500547728798,UPI
110,115525,2024-02-02,708.8966239821743,UPI
111,127835,2024-11-02,918.7671111052068,Credit Card
112,73147,2024-12-11,16.283958956208814,PayPal
113,78292,2024-11-03,955.6592948913146,PayPal
114,94925,2024-01-31,684.7988355236274,Debit Card
115,142397,2024-11-21,374.84155244320687,Debit Card
116,100896,2024-07-22,50.395098773112984,PayPal
117,5775,2024-07-17,778.2535671044387,UPI
118,81363,2024-03-20,303.4029528935341,Debit Card
119,145583,2024-06-02,742.2607825043228,Debit Card
120,33009,2024-01-15,965.4217088466704,UPI
121,62769,2024-05-06,189.7257929417698,PayPal
122,24456,2024-08-21,535.820048494007,UPI
123,160816,2024-12-12,107.53621791752943,Credit Card
124,156770,2024-05-15,156.28768873102064,PayPal
125,122617,2024-06-05,17.70230762826042,UPI
126,60775,2024-03-02,45.377262758698905,PayPal
127,3236,2024-02-24,650.9660482814926,Debit Card
128,54641,2024-04-20,304.6882271320993,Debit Card
129,38959,2024-08-01,820.7958288772256,Credit Card
130,11218,2024-06-20,470.88996424685524,Credit Card
131,81138,2024-06-17,834.9724881521598,Debit Card
132,67966,2024-04-22,992.0654115381259,Debit Card
133,27182,2024-07-18,672.4032001711986,PayPal
134,160996,2024-01-26,532.4955358853476,PayPal
135,74858,2024-01-16,53.62100783774578,Debit Card
136,48352,2024-02-01,212.01950301543292,PayPal
137,159524,2024-03-18,743.0763099734106,PayPal
138,24623,2024-07-25,461.50737391414896,Debit Card
139,112241,2024-03-14,941.0976968132953,UPI
140,90240,2024-08-14,648.2495253524579,UPI
141,164348,2024-08-18,946.0743022377557,PayPal
142,131973,2024-11-14,825.2257023871686,PayPal
143,26774,2024-01-31,980.366070524871,PayPal
144,158886,2024-11-06,433.3659961564609,PayPal
145,43197,2024-02-29,852.3318385658669,Credit Card
146,151856,2024-10-09,824.4284549502637,Debit Card
147,153787,2024-01-06,445.976710228815,Debit Card
148,10846,2024-07-08,338.13798118787867,Debit Card
149,43102,2024-01-20,932.9069942988202,PayPal
150,164307,2024-06-24,544.6982346972709,Debit Card
151,142819,2024-01-12,262.7831911251661,UPI
152,58287,2024-04-16,897.5665022480847,UPI
153,17547,2024-09-16,285.0749564279027,UPI
154,39232,2024-01-07,88.68473429565299,UPI
155,70339,2024-11-05,89.33528315437886,PayPal
156,43315,2024-09-28,209.31440463279003,PayPal
157,125699,2024-01-22,492.07377850990946,UPI
158,10296,2024-10-08,623.2645515133366,Credit Card
159,59152,2024-08-21,669.9176161990646,Debit Card
160,29982,2024-01-30,774.2115148186633,PayPal
161,39201,2024-03-04,396.8297697007558,PayPal
162,13376,2024-06-24,31.66960857901038,Debit Card
163,70117,2024-03-08,129.75525684291102,Debit Card
164,38716,2024-06-13,377.4359514738585,UPI
165,71342,2024-04-12,414.55945098126386,Credit Card
166,37045,2024-07-22,879.2167643102531,UPI
167,158920,2024-06-23,286.0296402907458,Debit Card
168,33740,2024-09-08,487.3499232781549,Credit Card
169,38595,2024-05-02,798.7926365658876,PayPal
170,150742,2024-05-17,64.50080682373783,UPI
171,135717,2024-01-29,872.5321191411903,UPI
172,72296,2024-03-22,121.4492497958672,Credit Card
173,36254,2024-12-26,849.8755938333255,UPI
174,106865,2024-06-03,243.52080300287824,Credit Card
175,133057,2024-07-08,918.9254723889446,PayPal
176,5860,2024-07-22,755.3829217713004,Credit Card
177,153033,2024-11-22,741.1785856695432,UPI
178,60158,2024-09-16,136.54394329748015,Debit Card
179,67381,2024-05-01,638.1187605177378,PayPal
180,151132,2024-10-16,40.33290032906509,UPI
181,63334,2024-10-19,193.46860516439432,PayPal
182,42564,2024-05-14,624.0087586688809,Credit Card
183,112040,2024-07-01,547.648877172381,UPI
184,3721,2024-01-25,41.49986988851572,PayPal
185,125455,2024-09-16,363.12833847002406,PayPal
186,96614,2024-08-08,46.92468017559441,Credit Card
187,62259,2024-08-11,509.0837627964641,PayPal
188,164610,2024-01-05,383.920700227853,PayPal
189,154887,2024-06-07,544.8857733210108,UPI
190,166616,2024-02-26,572.3242218377964,UPI
191,61139,2024-05-31,277.9960615325691,UPI
192,151738,2024-02-03,712.7715873361262,UPI
193,92031,2024-09-16,687.3405332502174,UPI
194,84926,2024-11-21,728.5215286126011,UPI
195,88123,2024-03-22,486.48428197570473,Credit Card
196,143926,2024-05-06,152.5031440597558,Debit Card
197,26729,2024-07-29,229.07625634692485,Credit Card
198,23204,2024-01-10,522.7611623567799,Debit Card
199,2791,2024-12-11,72.08048846498176,UPI
200,24423,2024-09-10,127.89258192183344,Debit Card
201,31232,2024-12-22,459.46484007231743,PayPal
202,78214,2024-10-18,779.8115778465401,Debit Card
203,147034,2024-08-14,112.72988676593927,PayPal
204,62636,2024-11-12,648.011735869744,Debit Card
205,11031,2024-07-04,313.20578929643057,UPI
206,60728,2024-06-14,749.3024896776658,Debit Card
207,23910,2024-02-16,424.6336900113865,UPI
208,138535,2024-05-06,833.0191584593051,Debit Card
209,124910,2024-06-18,828.133897375422,Credit Card
210,86176,2024-02-17,119.83064500014832,PayPal
211,136424,2024-05-27,761.9779105941486,UPI
212,2673,2024-12-25,224.16643456396443,Credit Card
213,106113,2024-04-20,973.3994055367982,PayPal
214,110013,2024-07-30,634.7444292140059,Credit Card
215,38482,2024-09-17,241.78720217519782,PayPal
216,152642,2024-07-20,958.5342715107976,Credit Card
217,75545,2024-06-28,40.16146521286912,Credit Card
218,79077,2024-05-07,864.6646003444004,Credit Card
219,127727,2024-08-18,715.924366338122,PayPal
220,8796,2024-06-22,214.42553633351875,Credit Card
221,66758,2024-08-27,572.7277482730528,Credit Card
222,144277,2024-04-17,163.6801742786955,Credit Card
223,1834,2024-12-18,584.9616413319555,Credit Card
224,79080,2024-05-03,432.9320658262903,UPI
225,64574,2024-05-07,860.6694270906585,Debit Card
226,125550,2024-10-01,543.7168393806301,Credit Card
227,136634,2024-11-25,542.7266698194022,Debit Card
228,148384,2024-08-22,681.4432797500256,Credit Card
229,33704,2024-10-26,40.25624263726835,PayPal
230,132717,2024-02-02,388.8245996309344,UPI
231,156415,2024-04-11,457.92226031864345,UPI
232,107333,2024-03-18,215.79320172229455,Credit Card
233,110410,2024-07-31,518.8637064402246,Credit Card
234,120433,2024-05-13,107.79297613021879,PayPal
235,30120,2024-06-08,370.2179648173302,PayPal
236,169372,2024-01-03,957.1366801552889,Debit Card
237,130533,2024-01-12,773.7619208634555,Debit Card
238,61330,2024-06-12,949.6623175142067,UPI
239,77237,2024-09-01,672.4139112991321,UPI
240,78813,2024-04-26,692.9405595338363,UPI
241,78489,2024-03-26,405.6796585785707,Credit Card
242,92955,2024-04-13,45.550162195836755,Credit Card
243,43496,2024-06-13,869.3798839434725,Credit Card
244,153612,2024-03-19,357.766360077687,Debit Card
245,128882,2024-05-13,520.1734847847729,UPI
246,102613,2024-03-05,394.5230988454538,UPI
247,60620,2024-10-12,83.59191164059368,Credit Card
248,48208,2024-07-25,800.5581943605307,UPI
249,68227,2024-06-05,853.0179167498903,UPI
250,63618,2024-10-14,628.9776447287699,PayPal
251,128040,2024-04-24,412.7021670008942,Credit Card
252,48595,2024-03-24,381.5349577641211,UPI
253,24049,2024-12-30,74.29639697337258,PayPal
254,139832,2024-05-17,627.848783396249,UPI
255,70154,2024-03-17,305.6090275604437,UPI
256,45960,2024-11-08,881.833348780614,PayPal
257,11808,2024-02-21,843.9805676579618,Credit Card
258,13461,2024-05-11,519.9717997058196,Debit Card
259,30698,2024-03-31,964.0276629218088,UPI
260,158582,2024-01-01,682.0521017383597,UPI
261,36455,2024-05-02,593.9595033343296,Debit Card
262,72859,2024-07-23,417.918532021566,Credit Card
263,95091,2024-02-20,406.29576184189807,Debit Card
264,28194,2024-03-13,309.28759029081675,Credit Card
265,89382,2024-10-04,572.1654295381784,PayPal
266,164136,2024-12-30,408.21459859893713,UPI
267,105174,2024-05-13,977.7107082110721,Debit Card
268,91532,2024-10-22,795.1492152737048,Debit Card
269,147648,2024-02-08,370.7971944421113,Credit Card
270,151945,2024-06-14,223.8670093554711,Debit Card
271,128662,2024-12-22,138.3103048760727,Debit Card
272,42902,2024-01-02,106.2500389449331,UPI
273,165032,2024-10-14,97.15668162459814,PayPal
274,61363,2024-01-03,872.2440183201895,Credit Card
275,99955,2024-12-13,764.638679064704,Debit Card
276,110728,2024-04-24,78.70593668056365,UPI
277,116220,2024-05-07,683.1009736376385,UPI
278,52441,2024-05-15,865.1500689685834,UPI
279,58791,2024-11-10,181.63576522916966,UPI
280,136927,2024-03-09,935.8312410375909,PayPal
281,69724,2024-09-27,111.52284512646962,PayPal
282,229,2024-05-03,140.59608202923428,PayPal
283,156085,2024-06-15,75.21589034033744,UPI
284,150316,2024-01-30,313.9634869527314,UPI
285,113750,2024-06-15,990.9165947184201,Debit Card
286,151534,2024-06-17,154.43783738154352,Credit Card
287,128048,2024-04-26,908.5468976284633,UPI
288,66952,2024-06-12,246.61136261849856,PayPal
289,45966,2024-06-02,44.10219766667763,UPI
290,103212,2024-03-17,980.9438608061062,PayPal
291,93480,2024-03-29,966.7618661568316,UPI
292,97568,2024-03-07,619.5736553788263,UPI
293,82724,2024-04-14,570.2499329682288,PayPal
294,141777,2024-06-12,524.1726744436326,PayPal
295,98523,2024-06-24,758.7946152346346,Debit Card
296,49348,2024-01-09,182.47041987614008,Credit Card
297,33087,2024-03-28,480.84560817816345,Debit Card
298,146951,2024-05-27,60.20581511659547,UPI
299,159869,2024-11-13,280.94852252427535,Credit Card
300,61983,2024-03-10,989.0321784584758,Credit Card
301,135421,2024-08-16,889.8308379794025,Credit Card
302,21873,2024-11-08,678.4447101092533,UPI
303,95077,2024-11-18,269.96014732230225,Debit Card
304,141398,2024-09-26,244.53498001045284,PayPal
305,123578,2024-12-25,618.0852589954984,UPI
306,120844,2024-08-30,240.27548412091585,PayPal
307,6270,2024-03-21,140.03623459749087,UPI
308,101692,2024-12-11,285.7663641918112,PayPal
309,154185,2024-02-21,46.827552070816616,Debit Card
310,134313,2024-04-07,192.3477120838426,PayPal
311,163423,2024-11-24,206.77481693307084,UPI
312,95914,2024-04-11,318.9756709369104,UPI
313,63269,2024-04-23,90.34789837492615,UPI
314,146936,2024-05-04,593.3761242911714,PayPal
315,30963,2024-08-06,855.6595221332022,PayPal
316,49181,2024-10-25,672.8398389755581,UPI
317,68296,2024-06-02,190.22613361690986,UPI
318,23607,2024-04-18,683.2517185858753,Debit Card
319,48921,2024-05-20,164.46377665912092,Debit Card
320,103719,2024-08-11,26.315959466893855,PayPal
321,70253,2024-08-21,124.74721631690176,UPI
322,75950,2024-09-09,554.0435545374137,Credit Card
323,22946,2024-07-22,894.6526980153191,Credit Card
324,81620,2024-05-03,128.4743195281052,PayPal
