shipping_id,order_id,shipping_date,shipping_address,shipping_method
0,38731,2024-05-28,Address_0,Express
1,50605,2024-02-19,Address_1,Standard
2,36685,2024-12-10,Address_2,Standard
3,23256,2024-01-03,Address_3,Standard
4,41411,2024-03-30,Address_4,Express
5,93106,2024-08-20,Address_5,Standard
6,90027,2024-11-17,Address_6,Standard
7,51407,2024-06-23,Address_7,Express
8,106224,2024-07-10,Address_8,Express
9,157524,2024-10-15,Address_9,Express
10,126196,2024-09-19,Address_10,Express
11,74233,2024-12-24,Address_11,Express
12,385,2024-02-06,Address_12,Standard
13,7011,2024-10-31,Address_13,Express
14,39084,2024-09-27,Address_14,Express
15,848,2024-04-02,Address_15,Standard
16,122645,2024-11-15,Address_16,Standard
17,21530,2024-08-06,Address_17,Standard
18,33039,2024-06-04,Address_18,Express
19,146435,2024-10-31,Address_19,Standard
20,153292,2024-12-08,Address_20,Standard
21,141782,2024-07-12,Address_21,Express
22,117848,2024-05-30,Address_22,Standard
23,11735,2024-07-09,Address_23,Standard
24,55606,2024-05-29,Address_24,Express
25,22312,2024-08-15,Address_25,Express
26,38270,2024-08-12,Address_26,Standard
27,104529,2024-09-21,Address_27,Standard
28,12557,2024-03-13,Address_28,Express
29,89088,2024-08-09,Address_29,Express
30,57108,2024-09-22,Address_30,Standard
31,44335,2024-09-27,Address_31,Express
32,130708,2024-09-27,Address_32,Standard
33,159598,2024-07-17,Address_33,Standard
34,6190,2024-10-15,Address_34,Standard
35,113906,2024-11-22,Address_35,Standard
36,50459,2024-02-04,Address_36,Standard
37,42671,2024-01-18,Address_37,Standard
38,72988,2024-04-03,Address_38,Standard
39,75779,2024-09-28,Address_39,Express
40,7236,2024-08-11,Address_40,Standard
41,112942,2024-07-21,Address_41,Express
42,96795,2024-11-10,Address_42,Standard
43,52271,2024-12-20,Address_43,Express
44,2463,2024-06-17,Address_44,Express
45,65997,2024-07-28,Address_45,Standard
46,58185,2024-02-21,Address_46,Standard
47,66524,2024-09-05,Address_47,Express
48,155547,2024-01-07,Address_48,Express
49,107831,2024-05-14,Address_49,Standard
50,130710,2024-08-22,Address_50,Standard
51,5995,2024-05-27,Address_51,Express
52,54972,2024-07-08,Address_52,Express
53,35475,2024-11-05,Address_53,Standard
54,145644,2024-03-29,Address_54,Standard
55,165297,2024-04-26,Address_55,Express
56,149393,2024-03-01,Address_56,Express
57,129262,2024-06-25,Address_57,Standard
58,19433,2024-06-25,Address_58,Express
59,124,2024-09-10,Address_59,Standard
60,156628,2024-03-03,Address_60,Standard
61,82033,2024-04-01,Address_61,Express
62,115858,2024-09-03,Address_62,Standard
63,158576,2024-08-02,Address_63,Express
64,154490,2024-04-29,Address_64,Express
65,168368,2024-08-05,Address_65,Express
66,38708,2024-01-12,Address_66,Standard
67,141337,2024-05-03,Address_67,Express
68,61034,2024-11-09,Address_68,Express
69,85199,2024-11-03,Address_69,Express
70,1897,2024-07-07,Address_70,Express
71,93251,2024-01-17,Address_71,Express
72,1344,2024-03-11,Address_72,Express
73,149785,2024-01-17,Address_73,Express
74,100157,2024-06-09,Address_74,Standard
75,3314,2024-02-13,Address_75,Express
76,89211,2024-11-08,Address_76,Express
77,142056,2024-05-06,Address_77,Standard
78,105248,2024-02-10,Address_78,Express
79,24654,2024-02-29,Address_79,Standard
80,85282,2024-02-18,Address_80,Express
81,122965,2024-08-12,Address_81,Express
82,91805,2024-10-30,Address_82,Standard
83,137132,2024-05-21,Address_83,Standard
84,43319,2024-04-27,Address_84,Standard
85,103934,2024-08-03,Address_85,Express
86,51513,2024-02-12,Address_86,Express
87,109279,2024-08-21,Address_87,Standard
88,34859,2024-01-04,Address_88,Standard
89,159060,2024-11-23,Address_89,Express
90,144296,2024-03-01,Address_90,Standard
91,9336,2024-08-12,Address_91,Standard
92,36429,2024-12-30,Address_92,Standard
93,63388,2024-09-05,Address_93,Standard
94,84841,2024-10-12,Address_94,Standard
95,39682,2024-09-12,Address_95,Express
96,130129,2024-03-15,Address_96,Express
97,88215,2024-08-15,Address_97,Express
98,95184,2024-03-02,Address_98,Standard
99,82261,2024-10-17,Address_99,Standard
100,134218,2024-08-01,Address_100,Express
101,26436,2024-05-04,Address_101,Express
102,98148,2024-10-21,Address_102,Standard
103,162206,2024-02-19,Address_103,Standard
104,85498,2024-05-17,Address_104,Express
105,3476,2024-07-13,Address_105,Express
106,109437,2024-04-18,Address_106,Express
107,57286,2024-09-22,Address_107,Standard
108,45503,2024-11-03,Address_108,Express
109,144788,2024-07-18,Address_109,Standard
110,129508,2024-06-20,Address_110,Standard
111,61218,2024-11-03,Address_111,Express
112,87999,2024-01-24,Address_112,Express
113,152013,2024-11-11,Address_113,Express
114,132036,2024-04-08,Address_114,Standard
115,73836,2024-10-03,Address_115,Express
116,147231,2024-02-23,Address_116,Express
117,19848,2024-04-10,Address_117,Standard
118,65911,2024-12-23,Address_118,Standard
